id,genre_name
1,Gia Đình
2,Hành Động
3,Thần Thoại
4,Khoa Học
5,Anime
6,Phiêu Lưu
7,Chiến Tranh
8,Giật Gân
9,Âm Nhạc
10,Thể Thao
11,Hoạt Hình
12,Viễn Tưởng
13,Thuyết minh
14,Tài Liệu
15,Tình Cảm
16,TV Show
17,Hài Hước
18,Cổ Trang
19,Hình Sự
20,Tâm Lý
21,Học Đường
22,Lãng Mạn
23,Võ Thuật
24,Kinh Dị
25,Tội Phạm
