id,origin_name
1,Mỹ
2,Khác
3,Thái Lan
4,Pháp
5,Trung Quốc
6,Hồng Kông
7,Hàn Quốc
8,Đức
9,Đài Loan
10,Anh
11,Ấn Độ
12,Việt Nam
13,Úc
14,Nhật Bản
15,Canada
